"Título","","","","","","","","","","",""
"Lista por Áreas de : H: Su hogar tiene: Conexión a Internet, H: Su hogar tiene: Conexión a TV por cable o satelital, H: Su hogar tiene: Teléfono celular, H: Su hogar tiene: Teléfono fijo","","","","","","","","","","",""
"Área Geográfica","","","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Código","Provincia","Sí tiene conexión a internet","No tiene conexión a internet","Sí tiene conexión a TV por cable o satelital","No tiene conexión a TV por cable o satelital","Sí tiene teléfono celular","No tiene teléfono celular","Sí tiene teléfono fijo","No tiene teléfono fijo",""
"","606","Cajamarca, provincia: Cutervo","00 000 000 001 367","00 000 000 035 278","00 000 000 002 657","00 000 000 033 988","00 000 000 025 929","00 000 000 010 716","00 000 000 000 356","00 000 000 036 289",""
"","607","Cajamarca, provincia: Hualgayoc","00 000 000 001 030","00 000 000 024 393","00 000 000 001 754","00 000 000 023 669","00 000 000 017 177","00 000 000 008 246","00 000 000 000 272","00 000 000 025 151",""
"","608","Cajamarca, provincia: Jaén","00 000 000 004 593","00 000 000 048 512","00 000 000 015 561","00 000 000 037 544","00 000 000 042 360","00 000 000 010 745","00 000 000 001 688","00 000 000 051 417",""
"","609","Cajamarca, provincia: San Ignacio","00 000 000 000 782","00 000 000 036 456","00 000 000 004 235","00 000 000 033 003","00 000 000 025 841","00 000 000 011 397","00 000 000 000 219","00 000 000 037 019",""
"","610","Cajamarca, provincia: San Marcos","00 000 000 000 387","00 000 000 014 501","00 000 000 000 964","00 000 000 013 924","00 000 000 009 962","00 000 000 004 926","00 000 000 000 218","00 000 000 014 670",""
"","611","Cajamarca, provincia: San Miguel","00 000 000 000 251","00 000 000 015 182","00 000 000 001 224","00 000 000 014 209","00 000 000 011 853","00 000 000 003 580","00 000 000 000 111","00 000 000 015 322",""
"","612","Cajamarca, provincia: San Pablo","00 000 000 000 202","00 000 000 006 360","00 000 000 000 344","00 000 000 006 218","00 000 000 005 020","00 000 000 001 542","00 000 000 000 065","00 000 000 006 497",""
"","613","Cajamarca, provincia: Santa Cruz","00 000 000 000 257","00 000 000 011 369","00 000 000 000 603","00 000 000 011 023","00 000 000 008 014","00 000 000 003 612","00 000 000 000 119","00 000 000 011 507",""
"","701","Provincia Constitucional del Callao","00 000 000 117 689","00 000 000 148 539","00 000 000 146 307","00 000 000 119 921","00 000 000 244 233","00 000 000 021 995","00 000 000 103 204","00 000 000 163 024",""
"","801","Cusco, provincia: Cusco","00 000 000 046 687","00 000 000 079 676","00 000 000 042 888","00 000 000 083 475","00 000 000 119 282","00 000 000 007 081","00 000 000 033 052","00 000 000 093 311",""
"","802","Cusco, provincia: Acomayo","00 000 000 000 065","00 000 000 007 090","00 000 000 000 082","00 000 000 007 073","00 000 000 004 334","00 000 000 002 821","00 000 000 000 053","00 000 000 007 102",""
